Location;Median_Price_2023
EPSOM;546500
ESSENDON;1765000
ESSENDON NORTH;1055000
ESSENDON WEST;960000
EUMEMMERRING;580000
EUREKA;N/A
EUROA;490000
EYNESBURY;658500
FAIRFIELD;1304000
FAIRHAVEN;1830000
FAWKNER;777000
FERNTREE GULLY;860000
FERNY CREEK;1040000
FINGAL;N/A
FITZROY;1715000
FITZROY NORTH;1600000
FIVEWAYS;390000
FLEMINGTON;1117500
FLINDERS;N/A
FLORA HILL;512500
FLOWERDALE;624000
FOOTSCRAY;860000
FOREST HILL;1100000
FOSTER;590000
FRANKSTON;698000
FRANKSTON NORTH;555000
FRANKSTON SOUTH;1080000
FRASER RISE;700000
FYANSFORD;1112500
GARDEN CITY;N/A
GARDENVALE;3000000
GARFIELD;745000
GEELONG;830000
GEELONG WEST;900000
GEMBROOK;934000
GISBORNE;975000
GLADSTONE PARK;677500
GLEN HUNTLY;1513000
GLEN IRIS;2235000
GLEN WAVERLEY;1750500
GLENGARRY;707500
GLENLYON;N/A
GLENROWAN;400000
GLENROY;735000
GOLDEN BEACH;400000
GOLDEN POINT (BALLARAT);575000
GOLDEN SQUARE;507500
GORDON;832000
GOUGHS BAY;560000
GOWANBRAE;967500
GRANTVILLE;600000
GREEN LAKE;400000
GREENSBOROUGH;938500
GREENVALE;825000
GROVEDALE;630000
HADFIELD;795000
HALLAM;660000
HALLS GAP;547500
HAMILTON;402500
HAMLYN HEIGHTS;755000
HAMPTON;2142500
HAMPTON EAST;1270000
HAMPTON PARK;645000
HARCOURT;578000
HARKNESS;575000
HASTINGS;682500
HASTINGS WEST;577500
HAWTHORN;2601000
HAWTHORN EAST;2215000
HEALESVILLE;745000
HEATHCOTE;532500
HEATHCOTE JUNCTION;695000
HEATHERTON;1095000
HEATHMONT;1028000
HEIDELBERG;1265000
HEIDELBERG HEIGHTS;835000
HEIDELBERG WEST;815000
HEPBURN;750000
HEPBURN SPRINGS;690000
HERNE HILL;760000
HEYFIELD;405000
HEYWOOD;N/A
HIGHETT;1535000
HIGHTON;790000
HILLSIDE (MELTON);720500
HOPETOUN;220000
HOPPERS CROSSING;625000
HORSHAM;399500
HUGHESDALE;1207500
HUNTINGDALE;1364000
HUNTLY;524000
HURSTBRIDGE;902500
INDENTED HEAD;864000
INGLEWOOD;N/A
INVERLOCH;1000000
INVERMAY PARK;725000
IRONBARK;530000
IRYMPLE;500000
IVANHOE;1302500
IVANHOE EAST;4775000
JACAN/A;567500
JACKASS FLAT;509000
JAMIESON;540000
JAN JUC;1260000
JEERALANG NORTH;357500
JEPARIT;133500
JUNCTION VILLAGE;630000
JUNORTOUN;867500
KALIMN/A;537500
KALKALLO;645000
KALLISTA;605500
KALORAMA;950000
KANGAROO FLAT;495000
KANGAROO GROUND SOUTH;920000
KANIVA;255000
KEALBA;665000
KEILOR;1043500
KEILOR DOWNS;790000
KEILOR EAST;960000
KEILOR LODGE;980000
KEILOR PARK;795000
KENNINGTON;587500
KENSINGTON;927500
KERANG;226500
KEW;2735000
KEW EAST;4600000
KEW NORTH;2607500
KEYSBOROUGH;901000
KIALLA;690000
KILCUNDA;545000
KILLARA (WODONGA);650000
KILMORE;600000
KILSYTH;760000
KILSYTH SOUTH;865000
KINGLAKE;645000
KINGS PARK;600000
KINGSBURY;774000
KINGSVILLE;1090000
KNOXFIELD;808000
KOO WEE RUP;640000
KOONDROOK;303000
KOROIT;470000
KORUMBURRA;476000
KURUNJANG;500000
KYABRAM;455000
KYNETON;790000
LAKE BOGA;280000
LAKE BUNGA;530000
LAKE GARDENS;925000
LAKE TYERS BEACH;690000
LAKE WENDOUREE;945000
LAKES ENTRANCE;525000
LALOR;655000
LANCEFIELD;727500
LANG LANG;631000
LANGWARRIN;816000
LARA;757500
LARA LAKE;700000
LAUNCHING PLACE;536000
LAVERTON;565000
LAVERTON SOUTH;684500
LEITCHVILLE;442000
LENEVA;730000
LEONGATHA;605000
LEOPOLD;695000
LILYDALE;775000
LINDENOW;342500
LISMORE;260000
LOCH;670000
LOCH SPORT;365000
LOCKINGTON;385000
LONG GULLY;400000
LONGWARRY;577500
LORNE;1824500
LOVELY BANKS;650000
LOWER PLENTY;1410000
LUCAS;620000
LUCKNOW;400000
LYNBROOK;814500
LYNDHURST;841500
LYSTERFIELD;810000
LYSTERFIELD SOUTH;N/A
MACEDON;1105000
MACLEOD;1102500
MACS COVE;N/A
MADDINGLEY;635000
MAFFRA;401000
MAIDEN GULLY;705000
MAIDSTONE;897500
MALDON;802500
MALLACOOTA;1120000
MALMSBURY;855500
MALVERN;1750000
MALVERN EAST;1511000
MAMBOURIN;652500
MANIFOLD HEIGHTS;850000
MANOR LAKES;605500
MANSFIELD;730000
MARENGO;N/A
MARIBYRNONG;1055000
MARLO;655000
MARONG;635000
MARSHALL;623500
MARYBOROUGH;387500
MARYSVILLE;780000
MCCRAE;1572500
MCKENZIE HILL;900000
MCKINNON;1130000
MCLOUGHLINS BEACH;360000
MEADOW HEIGHTS;535000
MELTON;456000
MELTON SOUTH;495000
MELTON WEST;550000
MENTONE;1436000
MENZIES CREEK;685000
MERBEIN;312500
MEREDITH;600000
MERINDA PARK;639500
MERNDA;642500
MERRIGUM;250000
MERRIJIG (MANSFIELD);N/A
METUNG;892500
MICKLEHAM;670000
MIDDLE PARK;2485000
MILDURA;430500
MILL PARK;755000
MILLGROVE;594000
MINERS REST;645000
MINYIP;N/A
MIRBOO NORTH;575000
MITCHAM;1155000
MITCHELL PARK;450000
MOE;345000
MONBULK;815000
MONT ALBERT;1702000
